244,24.33
mixamorig:RightHand\JointController\antTorqueX,mixamorig:RightHand\JointController\antTorqueY,mixamorig:RightHand\JointController\antTorqueZ,mixamorig:RightForeArm\JointController\antTorqueX,mixamorig:RightForeArm\JointController\antTorqueY,mixamorig:RightForeArm\JointController\antTorqueZ,mixamorig:RightArm\JointController\antTorqueX,mixamorig:RightArm\JointController\antTorqueY,mixamorig:RightArm\JointController\antTorqueZ,mixamorig:LeftHand\JointController\antTorqueX,mixamorig:LeftHand\JointController\antTorqueY,mixamorig:LeftHand\JointController\antTorqueZ,mixamorig:LeftForeArm\JointController\antTorqueX,mixamorig:LeftForeArm\JointController\antTorqueY,mixamorig:LeftForeArm\JointController\antTorqueZ,mixamorig:LeftArm\JointController\antTorqueX,mixamorig:LeftArm\JointController\antTorqueY,mixamorig:LeftArm\JointController\antTorqueZ,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierLeft,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierRight
0.00,0.00,0.59,0.00,0.00,5.60,0.00,0.00,20.51,0.00,0.00,0.59,-2.65,0.00,5.60,0.00,0.00,20.51,0.50,0.50
2.84,-1.40,-7.78,-13.13,-0.09,-4.16,1.04,-13.97,5.48,-9.03,0.69,-8.47,718.20,1.42,1.22,-39.10,16.16,-18.49,0.50,0.50
0.62,0.07,-2.21,-0.75,-0.06,-2.76,0.68,-0.43,-11.91,-1.64,0.47,-5.76,-0.48,1.51,0.96,-27.10,-1.66,2.50,0.50,0.50
0.06,0.00,-0.83,1.20,-0.09,-3.10,0.94,0.16,-5.92,-1.04,-0.03,-2.28,-0.80,1.61,0.45,-16.65,0.38,1.31,0.50,0.50
0.10,0.00,-0.39,1.05,-0.09,-3.25,0.61,0.10,-1.30,-0.33,-0.01,-1.06,-1.03,1.69,0.12,-15.67,0.30,1.48,0.50,0.50
0.13,0.00,-0.18,0.72,-0.09,-3.32,0.19,0.01,0.94,-0.11,0.00,-0.55,-1.10,1.72,-0.06,-15.43,0.28,1.68,0.50,0.50
0.03,0.00,-0.08,0.66,-0.10,-3.36,-0.12,-0.32,1.23,-0.37,-0.06,-0.49,-1.06,1.72,-0.12,-15.45,0.23,1.83,0.50,0.50
-0.02,0.00,-0.04,0.67,-0.10,-3.38,0.05,-0.27,1.47,-0.52,-0.07,-0.50,-1.03,1.71,-0.13,-15.48,0.20,1.85,0.50,0.50
-0.03,0.00,-0.03,0.78,-0.10,-3.40,0.16,-0.25,1.59,-0.56,-0.08,-0.50,-1.03,1.71,-0.14,-15.48,0.20,1.83,0.50,0.50
-0.04,0.00,-0.02,0.87,-0.10,-3.25,0.23,-0.29,1.54,-0.58,-0.08,-0.51,-1.02,1.72,-0.14,-15.47,0.20,1.82,0.50,0.50
-0.03,0.00,-0.02,0.75,-0.10,-3.41,0.42,-0.27,1.50,-0.58,-0.08,-0.50,-1.03,1.72,-0.14,-15.45,0.21,1.82,0.50,0.50
-0.06,0.00,-0.02,1.00,-0.10,-3.42,0.59,-0.38,1.38,-0.57,-0.07,-0.49,-1.04,1.73,-0.13,-15.41,0.22,1.83,0.50,0.50
-0.12,0.01,-0.04,1.47,-0.12,-3.28,0.76,-0.56,1.07,-0.57,-0.07,-0.47,-1.04,1.74,-0.13,-15.42,0.21,1.86,0.50,0.50
-0.10,0.00,-0.04,1.46,-0.12,-3.45,1.16,-0.58,1.13,-0.56,-0.06,-0.45,-1.05,1.75,-0.12,-15.42,0.22,1.89,0.50,0.50
-0.11,0.00,-0.04,1.64,-0.12,-3.46,1.46,-0.72,1.26,-0.55,-0.06,-0.44,-1.06,1.75,-0.11,-15.42,0.23,1.91,0.50,0.50
-0.08,0.00,-0.02,1.70,-0.12,-3.48,1.88,-0.65,1.53,-0.54,-0.05,-0.44,-1.07,1.76,-0.11,-15.44,0.23,1.93,0.50,0.50
-0.07,0.00,-0.02,2.03,-0.14,-3.35,2.15,-0.67,1.71,-0.53,-0.05,-0.44,-1.07,1.76,-0.10,-15.47,0.22,1.95,0.50,0.50
-0.06,0.00,-0.01,2.15,-0.14,-3.31,2.33,-0.68,1.91,-0.52,-0.06,-0.45,-1.07,1.76,-0.09,-15.50,0.21,1.95,0.50,0.50
-0.04,0.00,0.00,2.17,-0.14,-3.40,2.48,-0.67,2.17,-0.83,-0.10,-0.81,-1.07,2.98,-0.68,-26.00,0.04,1.39,1.00,0.50
-0.02,0.00,0.01,2.24,-0.14,-3.36,2.64,-0.66,2.35,-1.16,-0.01,-1.07,-1.05,3.50,-0.94,-29.54,0.09,1.28,1.00,0.50
0.00,0.00,0.02,2.32,-0.13,-3.38,2.71,-0.68,2.44,-1.21,0.00,-1.08,-1.05,3.50,-0.94,-29.55,0.08,1.33,1.00,0.50
0.00,0.00,0.02,2.37,-0.13,-3.39,2.74,-0.69,2.42,-1.21,0.00,-1.08,-1.04,3.49,-0.94,-29.52,0.09,1.34,1.00,0.50
0.02,0.00,0.02,4.48,-0.23,-6.56,6.00,-1.13,2.42,-1.18,0.00,-1.05,-1.04,3.50,-0.94,-29.50,0.09,1.37,1.00,1.00
0.03,0.01,0.01,4.90,-0.26,-7.09,6.31,-1.45,2.60,-1.18,0.00,-1.04,-1.04,3.50,-0.93,-29.53,0.08,1.39,1.00,1.00
0.03,0.00,0.02,4.65,-0.26,-7.08,6.22,-1.32,2.48,-1.18,0.00,-1.05,-1.03,3.51,-0.93,-29.56,0.08,1.41,1.00,1.00
0.02,0.00,0.01,4.63,-0.27,-7.07,5.96,-1.34,2.33,-1.19,0.00,-1.05,-1.04,3.51,-0.93,-29.56,0.08,1.42,1.00,1.00
0.01,0.00,0.01,4.46,-0.27,-7.05,5.86,-1.32,2.16,-1.19,0.00,-1.05,-1.04,3.52,-0.92,-29.59,0.08,1.42,1.00,1.00
0.00,0.00,0.00,4.47,-0.27,-7.04,5.81,-1.30,2.13,-1.21,0.00,-1.07,-1.05,3.52,-0.92,-29.59,0.09,1.41,1.00,1.00
-0.01,0.00,0.00,4.44,-0.27,-7.04,5.89,-1.31,2.18,-1.21,0.00,-1.08,-1.05,3.53,-0.92,-29.58,0.10,1.40,1.00,1.00
-0.01,0.00,0.00,4.52,-0.27,-7.02,6.02,-1.31,2.26,-1.21,0.00,-1.09,-1.06,3.53,-0.92,-29.59,0.10,1.39,1.00,1.00
-0.01,0.00,0.00,4.58,-0.27,-6.95,6.15,-1.33,2.32,-1.22,0.00,-1.10,-1.07,3.54,-0.92,-29.60,0.11,1.39,1.00,1.00
-0.01,0.00,0.00,4.68,-0.28,-6.94,6.31,-1.35,2.32,-1.22,0.01,-1.11,-1.08,3.54,-0.91,-29.62,0.11,1.40,1.00,1.00
-0.01,0.00,-0.01,4.75,-0.28,-6.93,6.40,-1.39,2.29,-1.23,0.01,-1.11,-1.08,3.54,-0.91,-29.66,0.10,1.42,1.00,1.00
-0.01,0.00,-0.01,4.81,-0.28,-6.92,6.50,-1.41,2.35,-1.24,0.01,-1.11,-1.09,3.54,-0.94,-29.66,0.10,1.42,1.00,1.00
0.00,0.00,0.00,4.89,-0.28,-6.92,6.63,-1.42,2.54,-1.23,0.01,-1.12,-1.09,3.55,-0.94,-29.63,0.12,1.39,1.00,1.00
0.03,0.00,0.01,4.94,-0.28,-6.91,6.70,-1.42,2.65,-1.24,0.01,-1.13,-1.09,3.55,-0.93,-29.66,0.11,1.38,1.00,1.00
0.04,0.00,0.02,4.93,-0.28,-6.90,6.58,-1.42,2.53,-1.26,0.01,-1.15,-1.09,3.55,-0.93,-29.75,0.09,1.40,1.00,1.00
0.03,0.00,0.02,4.90,-0.28,-6.95,6.58,-1.41,2.57,-1.26,0.00,-1.15,-1.09,3.55,-0.93,-29.75,0.10,1.41,1.00,1.00
0.04,0.00,0.03,4.86,-0.28,-6.94,6.53,-1.38,2.62,-1.25,0.00,-1.15,-1.09,3.54,-0.93,-29.77,0.10,1.43,1.00,1.00
0.05,0.00,0.03,4.77,-0.28,-6.93,6.39,-1.36,2.61,-1.23,0.00,-1.13,-1.09,3.54,-0.93,-29.81,0.09,1.47,1.00,1.00
0.05,0.00,0.04,4.67,-0.28,-6.91,6.23,-1.33,2.58,-1.20,0.00,-1.10,-1.09,3.53,-0.92,-29.84,0.09,1.51,1.00,1.00
0.05,0.00,0.04,4.58,-0.27,-6.89,6.06,-1.30,2.52,-1.19,-0.01,-1.08,-1.08,3.51,-0.92,-29.86,0.08,1.51,1.00,1.00
