296,29.50
mixamorig:RightHand\JointController\antTorqueX,mixamorig:RightHand\JointController\antTorqueY,mixamorig:RightHand\JointController\antTorqueZ,mixamorig:RightForeArm\JointController\antTorqueX,mixamorig:RightForeArm\JointController\antTorqueY,mixamorig:RightForeArm\JointController\antTorqueZ,mixamorig:RightArm\JointController\antTorqueX,mixamorig:RightArm\JointController\antTorqueY,mixamorig:RightArm\JointController\antTorqueZ,mixamorig:LeftHand\JointController\antTorqueX,mixamorig:LeftHand\JointController\antTorqueY,mixamorig:LeftHand\JointController\antTorqueZ,mixamorig:LeftForeArm\JointController\antTorqueX,mixamorig:LeftForeArm\JointController\antTorqueY,mixamorig:LeftForeArm\JointController\antTorqueZ,mixamorig:LeftArm\JointController\antTorqueX,mixamorig:LeftArm\JointController\antTorqueY,mixamorig:LeftArm\JointController\antTorqueZ,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierLeft,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierRight
0.00,0.00,0.59,0.00,0.00,5.60,0.00,0.00,20.51,0.00,0.00,0.59,-2.65,0.00,5.60,0.00,0.00,20.51,0.50,0.50
4.96,-1.34,-9.24,-24.89,-0.04,-6.03,-5.59,-26.43,10.35,-9.20,0.92,-8.52,686.21,1.47,0.67,-44.42,14.98,-21.94,0.50,0.50
0.75,0.22,-2.86,1.30,-0.05,-2.67,-2.32,-2.73,-10.56,-2.08,0.72,-6.60,-0.32,1.54,1.00,-25.06,0.70,2.32,0.50,0.50
0.05,0.02,-0.99,1.54,-0.09,-3.06,0.68,-0.03,-6.88,-1.22,-0.12,-2.64,-0.75,1.59,0.53,-18.02,-0.12,1.36,0.50,0.50
0.08,0.00,-0.45,1.18,-0.09,-3.23,0.66,0.11,-1.97,-0.40,0.00,-1.18,-1.01,1.68,0.16,-15.80,0.30,1.43,0.50,0.50
0.13,0.00,-0.21,0.78,-0.09,-3.31,0.27,0.02,0.64,-0.13,0.01,-0.62,-1.10,1.72,-0.04,-15.41,0.30,1.66,0.50,0.50
0.03,0.01,-0.09,0.92,-0.10,-3.36,-0.25,-0.34,1.30,-0.32,-0.06,-0.49,-1.07,1.72,-0.11,-15.42,0.24,1.81,0.50,0.50
-0.02,0.00,-0.04,0.72,-0.09,-3.38,0.01,-0.26,1.45,-0.50,-0.07,-0.49,-1.04,1.71,-0.13,-15.49,0.19,1.85,0.50,0.50
-0.03,0.00,-0.03,0.76,-0.10,-3.39,0.14,-0.25,1.59,-0.56,-0.08,-0.50,-1.03,1.71,-0.14,-15.48,0.20,1.84,0.50,0.50
-0.03,0.00,-0.02,0.86,-0.10,-3.25,0.21,-0.28,1.57,-0.58,-0.08,-0.51,-1.02,1.71,-0.14,-15.47,0.20,1.82,0.50,0.50
-0.03,0.00,-0.02,0.78,-0.10,-3.41,0.40,-0.26,1.49,-0.58,-0.08,-0.51,-1.03,1.72,-0.14,-15.45,0.21,1.82,0.50,0.50
-0.05,0.00,-0.02,0.93,-0.10,-3.42,0.49,-0.41,1.44,-0.57,-0.07,-0.50,-1.03,1.73,-0.13,-15.41,0.22,1.82,0.50,0.50
-0.08,0.00,-0.03,1.18,-0.11,-3.43,0.74,-0.47,1.23,-0.56,-0.06,-0.47,-1.04,1.74,-0.13,-15.42,0.21,1.85,0.50,0.50
-0.12,0.00,-0.04,1.45,-0.12,-3.44,1.06,-0.62,1.02,-0.56,-0.06,-0.46,-1.05,1.75,-0.12,-15.42,0.22,1.88,0.50,0.50
-0.10,0.00,-0.04,1.68,-0.13,-3.31,1.45,-0.59,1.30,-0.56,-0.06,-0.45,-1.06,1.75,-0.11,-15.42,0.22,1.91,0.50,0.50
-0.09,0.00,-0.03,1.76,-0.13,-3.48,1.82,-0.59,1.50,-0.54,-0.06,-0.45,-1.06,1.76,-0.11,-15.44,0.23,1.93,0.50,0.50
-0.07,0.00,-0.02,1.89,-0.13,-3.50,2.09,-0.63,1.69,-0.52,-0.05,-0.44,-1.07,1.76,-0.10,-15.47,0.22,1.94,0.50,0.50
-0.05,0.00,-0.01,2.04,-0.13,-3.37,2.28,-0.66,1.87,-0.51,-0.06,-0.45,-1.07,1.76,-0.09,-15.51,0.21,1.95,0.50,0.50
-0.04,0.00,0.00,2.14,-0.14,-3.40,2.43,-0.66,2.12,-0.51,-0.06,-0.46,-1.07,1.76,-0.09,-15.50,0.21,1.95,0.50,0.50
-0.03,0.00,0.01,2.20,-0.14,-3.36,2.58,-0.65,2.32,-0.51,-0.06,-0.47,-1.07,1.76,-0.08,-15.48,0.21,1.95,0.50,0.50
-0.01,0.00,0.02,2.28,-0.13,-3.38,2.67,-0.67,2.43,-0.56,0.02,-0.49,-1.06,1.75,-0.08,-15.45,0.21,1.99,0.50,0.50
0.00,0.00,0.02,2.33,-0.13,-3.39,2.70,-0.68,2.42,-0.61,0.00,-0.48,-1.05,1.75,-0.08,-15.44,0.21,2.00,0.50,0.50
0.01,0.00,0.02,2.36,-0.12,-3.40,2.71,-0.69,2.39,-0.62,0.00,-0.47,-1.04,1.75,-0.08,-15.42,0.21,2.02,0.50,0.50
0.02,0.00,0.02,2.37,-0.12,-3.39,2.64,-0.70,2.30,-0.61,0.00,-0.47,-1.04,1.75,-0.08,-15.44,0.20,2.04,0.50,0.50
0.03,0.00,0.02,2.34,-0.12,-3.39,2.54,-0.70,2.20,-0.61,0.00,-0.46,-1.04,1.75,-0.08,-15.47,0.19,2.06,0.50,0.50
0.02,0.00,0.02,2.29,-0.12,-3.38,2.45,-0.69,2.06,-0.62,0.00,-0.46,-1.04,1.76,-0.08,-15.47,0.20,2.07,0.50,0.50
0.01,0.00,0.01,2.25,-0.13,-3.37,2.38,-0.69,1.93,-0.62,0.00,-0.46,-1.04,1.76,-0.07,-15.49,0.19,2.08,0.50,0.50
0.00,0.00,0.01,2.23,-0.13,-3.36,2.36,-0.68,1.84,-0.63,0.00,-0.47,-1.04,1.76,-0.07,-15.49,0.20,2.08,0.50,0.50
-0.01,0.00,0.00,2.22,-0.13,-3.36,2.40,-0.68,1.85,-0.63,0.00,-0.47,-1.05,1.76,-0.07,-15.49,0.21,2.07,0.50,0.50
-0.01,0.00,0.00,2.24,-0.13,-3.35,2.49,-0.68,1.89,-0.63,0.00,-0.47,-1.06,1.77,-0.07,-15.49,0.22,2.06,0.50,0.50
-0.01,0.00,0.00,2.28,-0.13,-3.34,2.58,-0.68,1.96,-0.63,0.00,-0.48,-1.06,1.77,-0.07,-15.50,0.23,2.06,0.50,0.50
-0.02,0.00,0.00,2.33,-0.13,-3.34,2.66,-0.71,1.98,-0.63,0.00,-0.48,-1.07,1.77,-0.06,-15.52,0.23,2.07,0.50,0.50
-0.01,0.00,0.00,2.39,-0.13,-3.33,2.72,-0.73,1.95,-0.63,0.00,-0.48,-1.08,1.77,-0.08,-15.56,0.22,2.08,0.50,0.50
