80,7.90
mixamorig:RightHand\JointController\antTorqueX,mixamorig:RightHand\JointController\antTorqueY,mixamorig:RightHand\JointController\antTorqueZ,mixamorig:RightForeArm\JointController\antTorqueX,mixamorig:RightForeArm\JointController\antTorqueY,mixamorig:RightForeArm\JointController\antTorqueZ,mixamorig:RightArm\JointController\antTorqueX,mixamorig:RightArm\JointController\antTorqueY,mixamorig:RightArm\JointController\antTorqueZ,mixamorig:LeftHand\JointController\antTorqueX,mixamorig:LeftHand\JointController\antTorqueY,mixamorig:LeftHand\JointController\antTorqueZ,mixamorig:LeftForeArm\JointController\antTorqueX,mixamorig:LeftForeArm\JointController\antTorqueY,mixamorig:LeftForeArm\JointController\antTorqueZ,mixamorig:LeftArm\JointController\antTorqueX,mixamorig:LeftArm\JointController\antTorqueY,mixamorig:LeftArm\JointController\antTorqueZ,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierLeft,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierRight
0.00,0.00,0.59,0.00,0.00,5.60,0.00,0.00,20.51,0.00,0.00,0.59,-2.65,0.00,5.60,0.00,0.00,20.51,0.50,0.50
-1.01,-0.07,-0.41,-3.46,-0.03,0.47,0.80,-2.40,1.18,-1.07,0.00,-0.78,171.01,-0.23,1.73,0.30,6.75,1.35,0.05,0.05
-0.93,-0.07,-0.07,-0.07,-0.15,0.35,2.24,-0.41,3.01,-0.94,-0.01,-0.72,51.45,-0.06,1.11,5.54,3.41,2.16,0.05,0.05
-0.75,-0.05,-0.02,0.81,-0.16,0.36,2.09,-0.09,3.29,-0.65,0.03,-0.57,1.06,-0.03,1.43,3.74,1.95,3.54,0.05,0.05
-0.57,-0.03,-0.01,1.12,-0.15,0.39,1.82,-0.01,3.38,-0.43,0.06,-0.43,0.26,-0.05,1.59,1.84,1.44,4.06,0.05,0.05
-0.40,-0.02,0.00,1.07,-0.14,0.41,1.49,-0.06,3.30,-0.32,0.05,-0.32,-0.03,-0.05,1.62,0.68,1.09,4.24,0.05,0.05
-0.27,-0.01,0.00,0.88,-0.12,0.42,1.11,-0.19,3.10,-0.27,0.04,-0.24,-0.19,-0.05,1.59,-0.02,0.87,4.26,0.05,0.05
-0.18,0.00,0.00,0.73,-0.11,0.42,0.86,-0.23,2.88,-0.24,0.03,-0.18,-0.31,-0.03,1.53,-0.43,0.72,4.19,0.05,0.05
-0.12,0.00,0.01,0.63,-0.10,0.43,0.71,-0.20,2.72,-0.23,0.02,-0.13,-0.40,-0.01,1.46,-0.68,0.63,4.09,0.05,0.05
-0.08,0.00,0.01,0.57,-0.09,0.40,0.55,-0.18,2.58,-0.22,0.01,-0.10,-0.47,0.00,1.40,-0.83,0.58,3.98,0.05,0.05
-0.05,0.00,0.01,0.54,-0.08,0.40,0.39,-0.17,2.45,-0.21,0.01,-0.08,-0.53,0.02,1.34,-0.94,0.55,3.88,0.05,0.05
-0.03,0.00,0.01,0.51,-0.07,0.38,0.26,-0.17,2.32,-0.21,0.00,-0.06,-0.59,0.03,1.28,-1.02,0.53,3.79,0.05,0.05
-0.02,0.00,0.01,0.50,-0.06,0.37,0.15,-0.18,2.19,-0.20,0.00,-0.04,-0.64,0.04,1.24,-1.08,0.51,3.72,0.05,0.05
-0.01,0.00,0.01,0.49,-0.06,0.37,0.08,-0.18,2.07,-0.20,0.00,-0.03,-0.69,0.06,1.20,-1.15,0.50,3.67,0.05,0.05
-0.01,0.00,0.01,0.47,-0.06,0.36,0.02,-0.19,1.99,-0.19,0.00,-0.02,-0.74,0.07,1.16,-1.20,0.50,3.62,0.05,0.05
0.00,0.00,0.01,0.46,-0.05,0.35,-0.02,-0.20,1.92,-0.19,0.00,-0.02,-0.78,0.08,1.13,-1.25,0.50,3.57,0.05,0.05
0.00,0.00,0.02,0.46,-0.05,0.35,-0.06,-0.21,1.87,-0.19,0.00,-0.02,-0.82,0.09,1.11,-1.30,0.50,3.53,0.05,0.05
0.00,0.00,0.02,0.45,-0.05,0.34,-0.10,-0.21,1.84,-0.18,0.00,-0.01,-0.85,0.10,1.08,-1.35,0.49,3.49,0.05,0.05
0.00,0.00,0.02,0.44,-0.05,0.33,-0.13,-0.21,1.83,-0.18,0.00,-0.01,-0.88,0.11,1.06,-1.40,0.48,3.45,0.05,0.05
0.00,0.00,0.02,0.41,-0.04,0.31,-0.15,-0.20,1.84,-0.18,0.00,-0.01,-0.90,0.11,1.03,-1.44,0.47,3.40,0.05,0.05
0.00,0.00,0.02,0.40,-0.04,0.30,-0.17,-0.19,1.85,-0.18,0.00,-0.01,-0.92,0.12,1.01,-1.48,0.46,3.36,0.05,0.05
0.00,0.00,0.01,0.39,-0.04,0.30,-0.19,-0.18,1.87,-0.17,0.00,0.00,-0.94,0.12,0.98,-1.51,0.44,3.32,0.05,0.05
8.41,0.36,8.88,5.28,0.77,4.64,-1.67,-0.71,6.21,-0.68,-0.12,7.69,-4.51,-0.36,3.66,1.12,0.47,3.97,0.05,0.05
0.85,0.35,7.09,5.28,2.27,11.76,0.30,-2.43,11.13,-0.92,-0.10,4.15,-6.59,-0.73,11.33,-1.43,1.20,5.16,0.05,0.05
3.28,0.43,2.24,-10.30,1.07,1.35,40.71,-1.50,24.99,-1.23,-0.27,2.49,109.43,-0.56,0.51,-11.96,2.78,7.96,0.05,0.05
2.40,0.35,10.51,-0.61,1.13,3.41,23.11,-0.89,15.42,-1.13,-0.09,14.90,-3.46,-0.65,3.10,-13.80,1.76,13.07,0.05,0.05
2.25,0.12,9.73,2.75,1.89,3.68,11.12,1.25,7.57,-1.08,0.03,12.88,-3.58,-1.10,3.22,-14.03,0.78,13.59,0.05,0.05
2.13,-0.08,5.02,2.18,1.85,3.99,9.27,0.57,-0.16,-0.96,0.11,6.78,-3.44,-1.03,3.45,-13.46,1.35,13.63,0.05,0.05
1.65,-0.17,1.65,2.04,1.28,4.13,8.41,-0.17,-2.78,-0.69,0.10,2.19,-3.25,-0.71,3.47,-13.02,2.14,13.31,0.05,0.05
1.02,-0.15,0.84,2.20,0.91,4.11,8.78,-0.41,-1.11,-0.47,0.05,1.10,-3.22,-0.59,3.31,-13.15,2.16,13.03,0.05,0.05
0.50,-0.09,0.70,2.35,0.71,4.01,9.35,-0.46,0.94,-0.33,0.01,0.63,-3.25,-0.56,3.11,-13.48,1.89,12.77,0.05,0.05
